block,source,speaker_key,rows_dual_scored,rows_text_total,hours,hours_audio_lev,text_mean_prob,text_full_vote_frac,text_full_vote_lb,audio_mean_prob,audio_vote_frac,audio_vote_lb,combined_prob,combined_vote_lb
train,masc_c,ZVYIVueNXzY,1,10,0.0006611111111111111,0.0006611111111111111,0.9920624494552612,0.2,0.05668094798069328,0.9963555335998535,1.0,0.20654329147389294,0.9884469111913745,0.011707069559792895
train,masc_c,64lrhPPGhRE,1,22,0.0006833333333333333,0.0006833333333333333,0.9872844219207764,0.045454545454545456,0.008069219301147859,0.9953669309616089,1.0,0.20654329147389294,0.9827102650334893,0.001666643114083745
train,masc_c,c8hjmdMp5ZE,2,8,0.0018777777777777777,0.0018777777777777777,0.9858273863792419,0.5,0.2152125268244419,0.9967760443687439,1.0,0.3423719528896193,0.9826491226254781,0.07368273309519376
train,masc_c,z2KmNtjMfIo,9,14,0.011271944444444442,0.011271944444444442,0.9849538736873202,0.7142857142857143,0.4535045882751561,0.9970877766609192,1.0,0.7008472464490406,0.98208546802845,0.317837441944649
train,masc_c,pswqn-Y19C0,2,13,0.0016333333333333334,0.0016333333333333334,0.9804585874080658,0.3076923076923077,0.1268049716161809,0.9966546297073364,1.0,0.3423719528896193,0.977178590376564,0.0434144657683446
train,masc_c,JTvyQQhN1j4,1,22,0.0007611111111111112,0.0007611111111111112,0.9872844219207764,0.18181818181818182,0.0730676602410512,0.9792520403862,1.0,0.20654329147389294,0.9668002846074302,0.015091635046482817
train,masc_c,_sBrMLIaeNo,2,7,0.004055583333333333,0.004055583333333333,0.9782518744468689,0.2857142857142857,0.08221716570901552,0.976610541343689,1.0,0.3423719528896193,0.9553710926740351,0.028148851584845085
train,masc_c,RXcTGHfhyYM,2,8,0.0021333333333333334,0.0021333333333333334,0.9645927548408508,0.375,0.13684175946152105,0.9897368848323822,1.0,0.3423719528896193,0.9546930283080695,0.0468507804236925
train,masc_c,WJ_44fLU5iI,1,7,0.001388888888888889,0.001388888888888889,0.9686622023582458,0.14285714285714285,0.02567895594897479,0.9827846884727478,1.0,0.20654329147389294,0.9519863807799744,0.005303816083314357
train,masc_c,K6zLr-7hbxQ,13,23,0.011127777777777778,0.011127777777777778,0.9603904990049509,0.6086956521739131,0.40785179603745997,0.9906583107434787,1.0,0.7718981569447084,0.9514188293983311,0.3148200496679045
train,masc_c,MMAkUyiaWSQ,12,26,0.010616833333333332,0.010616833333333332,0.9466817875703176,0.6153846153846154,0.4253452003942009,0.9935483435789744,1.0,0.7574992425007574,0.9405741219368715,0.32219866709994
train,masc_c,-7Sym-JtoLQ,8,15,0.007655555555555555,0.007655555555555555,0.9423636719584465,0.5333333333333333,0.3011663015105079,0.9955852255225182,1.0,0.6755843804891231,0.9382033488709782,0.20346324923017692
train,masc_c,zZtR8YkiIkk,30,41,0.03689997222222223,0.03689997222222223,0.959475330511729,0.8292682926829268,0.6873709004537023,0.9778180340925853,1.0,0.886482908609522,0.9381922814413123,0.6093425551277442
train,masc_c,XGvRC7Xr0TQ,4,25,0.003072222222222222,0.003072222222222222,0.9425349533557892,0.32,0.1720498751689115,0.985570639371872,1.0,0.5100999795960008,0.9289347766092027,0.08776263781315624
train,masc_c,azCvVchVF7Q,1,22,0.0007055555555555555,0.0007055555555555555,0.9872844219207764,0.09090909090909091,0.025294896282837778,0.9367701411247253,1.0,0.20654329147389294,0.9248585672529686,0.005224491135748055
train,masc_c,PRsMjT6fkxI,2,23,0.0013777777777777777,0.0013777777777777777,0.9921293258666992,0.08695652173913043,0.02417949540723341,0.9275565147399902,1.0,0.3423719528896193,0.9202560196722516,0.008278381062460084
train,masc_c,J9TmRmT8-qA,2,27,0.0015722222222222223,0.0015722222222222223,0.9301992654800415,0.25925925925925924,0.13170208422866778,0.9889562427997589,1.0,0.3423719528896193,0.9199263706442373,0.04509109977700212
train,masc_c,G0_LEW-YLzw,11,19,0.01065,0.01065,0.95898898081346,0.8421052631578947,0.6243407235682331,0.9585172750733115,1.0,0.7411599827511859,0.9192075047146498,0.46273635991069456
train,masc_c,q2tauRs3Ktc,2,12,0.004311111111111111,0.004311111111111111,0.9469277560710907,0.25,0.08894003962896137,0.9697622358798981,1.0,0.3423719528896193,0.9182947779442356,0.030450575057847633
train,masc_c,Vzxr3Qdz9-Y,5,13,0.004405555555555556,0.004405555555555556,0.9342090368270874,0.5384615384615384,0.29143432431832045,0.9823309779167175,1.0,0.565508505247919,0.9177024767249876,0.16480858912319063
train,masc_c,fFLq8XMWnZQ,5,8,0.004791666666666666,0.004791666666666666,0.9826689839363099,0.625,0.3057378545838018,0.927683699131012,1.0,0.565508505247919,0.9116059980393489,0.17289735714339138
train,masc_c,YhGgnGdmOn0,11,21,0.010094444444444444,0.010094444444444444,0.944896324114366,0.5238095238095238,0.3236921790026675,0.9621319391510703,1.0,0.7411599827511859,0.9091149326168732,0.23990768980631083
train,masc_c,8BfeYl9WPfw,4,7,0.0033221944444444445,0.0033221944444444445,0.9947625398635864,0.5714285714285714,0.2504542304090258,0.9118801653385162,1.0,0.5100999795960008,0.9071042293233695,0.12775669782137616
train,masc_c,RlMtzKuQY0E,9,11,0.014061361111111111,0.014061361111111111,0.9273352755440606,0.8181818181818182,0.5230138624217553,0.9780573050181071,1.0,0.7008472464490406,0.9069870404468476,0.36655282533296457
train,masc_c,bAJvWQ2poJk,2,17,0.0015611111111111112,0.0015611111111111112,0.991521567106247,0.17647058823529413,0.06191013712548989,0.9128799438476562,1.0,0.3423719528896193,0.9051401525036908,0.021196294551318096
train,masc_c,j1aYKrjuiH0,19,39,0.017766666666666667,0.017766666666666667,0.9090098362219962,0.5897435897435898,0.43418348473344903,0.9875658436825401,1.0,0.8318156346315495,0.8977070658243033,0.3611606109000916
train,masc_c,1c9xZEhrbzU,7,14,0.005883333333333332,0.005127777777777777,0.9842509457043239,0.6428571428571429,0.3876400468214041,0.9098465144634247,0.8571428571428571,0.4868654966809702,0.8955172923064085,0.18872856392913745
train,masc_c,F0c-PwLhERs,3,6,0.0060999999999999995,0.0060999999999999995,0.967561940352122,0.5,0.1876128068994087,0.9253271619478861,1.0,0.4384939195509822,0.8953113442748188,0.08226707505528329
train,masc_c,zgPxPT5llDs,31,56,0.025016666666666663,0.02225,0.979495890678898,0.8214285714285714,0.7015856902425105,0.9139359843346381,0.8709677419354839,0.7114724304561464,0.8951965409993516,0.49915887621009203
train,masc_c,EVo_ZOfSxmM,10,21,0.008944444444444444,0.008944444444444444,0.9252869606018066,0.6190476190476191,0.40878295815501514,0.9668639540672302,1.0,0.7224598312333834,0.8946266093743123,0.2953292669597555
train,masc_c,OYaUw76jYas,8,19,0.005883333333333333,0.005883333333333333,0.9285869002342224,0.631578947368421,0.41039157498156714,0.9626668840646744,1.0,0.6755843804891231,0.8939198578317535,0.27725413794187753
train,masc_c,DRZnGvIoxaE,24,35,0.027299999999999998,0.02652777777777778,0.9811752339204153,0.8,0.6410806339053748,0.9070407872398695,0.9583333333333334,0.7975777375115778,0.8899659565954365,0.511311641552737
train,masc_c,JJbWyNwTcpw,25,38,0.03037222222222222,0.026605555555555556,0.9901985263824463,0.7368421052631579,0.5799084979362467,0.8943043995648623,0.88,0.7004380781662651,0.8855388985864651,0.40618999380675014
train,masc_c,G6JEIUxO5ks,7,35,0.0051555555555555565,0.0051555555555555565,0.9000039611543927,0.42857142857142855,0.27984333081678914,0.9786501526832581,1.0,0.6456611570247934,0.8807890139992836,0.1806839687608401
train,masc_c,UmcAGZ5EfiY,7,70,0.00838888888888889,0.00838888888888889,0.903179441179548,0.1,0.04928867510614623,0.9717274819101606,1.0,0.6456611570247934,0.8776442840904282,0.031823782997253504
train,masc_c,HQmYBkoq_Js,2,48,0.005519166666666667,0.005519166666666667,0.9138802587985992,0.10416666666666667,0.04532105090117825,0.959490954875946,1.0,0.3423719528896193,0.8768598421569447,0.015516656704046238
train,masc_c,XU8hHnrpb4Q,22,36,0.030416666666666665,0.02815,0.9661139737476002,0.6111111111111112,0.4486417029674348,0.9067346424986185,0.9090909090909091,0.7218461934161421,0.8760090085989499,0.3238503054947783
train,masc_c,LGT41_pkIYw,6,28,0.005061111111111111,0.005061111111111111,0.8975259363651276,0.2857142857142857,0.15253815848329966,0.9716472625732422,1.0,0.6096569663469354,0.8720786191576622,0.09299595095307653
train,masc_c,N7xNOHO9rkM,19,29,0.016088888888888885,0.014461111111111109,0.9839263558387756,0.896551724137931,0.7361455275293085,0.8844179017469287,0.8947368421052632,0.6860544950515831,0.8702020831044319,0.505035948173601
train,masc_c,4WbeJnKs5oA,17,24,0.015038861111111107,0.01439997222222222,0.9731183437740102,0.8333333333333334,0.6414652961213058,0.8914769850671291,0.9411764705882353,0.730174547964372,0.8675126072211727,0.46838163263020643
train,masc_c,Bdru0BI9Htg,8,16,0.006822222222222222,0.006822222222222222,0.8810819238424301,0.5625,0.3317819560677652,0.9808639287948608,1.0,0.6755843804891231,0.8642214774102204,0.22414670724751062
train,masc_c,oMvj4qic7Ec,8,17,0.006716638888888889,0.005844416666666667,0.9615247771143913,0.6470588235294118,0.4129996672121183,0.8984701540321112,0.875,0.5291051942301385,0.8639013145996586,0.2185202691372504
train,masc_c,YpmcfdBo9QM,27,31,0.03348333333333333,0.030549999999999994,0.9605841173066033,0.9032258064516129,0.7509971000182296,0.8949456978847997,0.8888888888888888,0.7194181745602704,0.8596706232400124,0.5402809627951716
train,masc_c,5paxfnyFwSI,18,35,0.02138891666666667,0.019105583333333332,0.9933247698677911,0.6,0.4357241958151947,0.8652280120214628,0.8888888888888888,0.6719975513339578,0.8594524159243859,0.2928055926447688
train,masc_c,LdX2rcnMZGY,12,30,0.008666666666666666,0.007977777777777776,0.9619791309038798,0.9333333333333333,0.7867618227892791,0.8931261391068498,0.9166666666666666,0.6461140782014047,0.8591687070855449,0.508337889895552
train,masc_c,ywcL4F4t050,17,42,0.011716666666666665,0.010188888888888888,0.9806052796980914,0.8333333333333334,0.6939570379522572,0.8753811700050446,0.8823529411764706,0.6566315750229009,0.8584033970552393,0.45567410282881765
train,masc_c,iRiN-yT2Uzo,11,17,0.01066663888888889,0.009911083333333334,0.9796740033409812,0.7058823529411765,0.468664666737861,0.8733209493908692,0.9090909090909091,0.6226353745137962,0.8555698306912993,0.2918072002957116
train,masc_c,VkmA0bcHdzo,16,29,0.01571663888888889,0.014777750000000003,0.9115606248378754,0.7241379310344828,0.5428252365556403,0.9361966457217932,0.9375,0.7167073163197013,0.8533999993452808,0.3890468185224
